Wall time,Step,Value
1681552990.580591,8847360,540.189453125
1681552991.4853508,8912896,574.7054443359375
1681552992.3753173,8978432,596.550537109375
1681552993.2898252,9043968,547.8331298828125
1681552994.18257,9109504,549.4389038085938
1681552995.0824385,9175040,602.7732543945312
1681552996.0037253,9240576,541.3294677734375
1681552996.8918602,9306112,540.4345092773438
1681552997.7810466,9371648,504.6384582519531
1681552998.667765,9437184,508.305419921875
1681552999.556663,9502720,507.9283752441406
1681553000.4478402,9568256,433.6334533691406
1681553001.3472877,9633792,417.6955261230469
1681553002.2410057,9699328,438.8076171875
1681553003.1367364,9764864,442.10943603515625
1681553004.050588,9830400,436.4678955078125
1681553004.9433134,9895936,424.6927185058594
1681553005.84834,9961472,442.15582275390625
1681553006.7607334,10027008,441.3396911621094
1681553007.6543205,10092544,464.4611511230469
1681553008.5459313,10158080,455.8830871582031
1681553009.4290378,10223616,468.9965515136719
1681553010.3212178,10289152,404.656982421875
1681553011.2210252,10354688,410.44952392578125
1681553012.1210701,10420224,383.38433837890625
1681553013.018258,10485760,406.5848693847656
1681553013.927585,10551296,421.63018798828125
1681553014.8450913,10616832,448.9615478515625
1681553015.7708688,10682368,440.7673034667969
1681553016.6962526,10747904,455.5787048339844
1681553017.587133,10813440,471.58990478515625
1681553018.49114,10878976,479.78704833984375
1681553019.4063027,10944512,407.43963623046875
1681553020.308744,11010048,414.2786865234375
1681553021.2048583,11075584,450.6394348144531
1681553022.0972147,11141120,434.52880859375
1681553022.9869242,11206656,415.26849365234375
1681553023.8671699,11272192,388.5504455566406
1681553024.7686706,11337728,448.35003662109375
1681553025.6825185,11403264,459.3951110839844
1681553026.5784066,11468800,458.46392822265625
1681553027.4690545,11534336,486.6979675292969
1681553028.3556564,11599872,462.85968017578125
1681553029.2491198,11665408,489.5157775878906
1681553030.1419048,11730944,459.2880859375
1681553031.0433326,11796480,444.29925537109375
1681553031.9344974,11862016,446.9534912109375
1681553032.8256972,11927552,494.1585693359375
1681553033.7383661,11993088,487.6445617675781
1681553034.6266172,12058624,467.0756530761719
1681553035.529416,12124160,465.9348449707031
1681553036.423077,12189696,468.9332275390625
1681553037.3113084,12255232,483.4832763671875
1681553038.1990192,12320768,520.7201538085938
1681553039.0864034,12386304,492.4178771972656
1681553039.9711258,12451840,509.4041442871094
1681553040.8673315,12517376,495.6280212402344
1681553041.7666664,12582912,540.4359130859375
1681553042.6687496,12648448,530.2361450195312
1681553043.5678627,12713984,533.1649780273438
1681553044.450682,12779520,536.4552612304688
1681553045.3530827,12845056,554.8978881835938
1681553046.270264,12910592,554.8464965820312
1681553047.1621943,12976128,516.1648559570312
1681553048.0504286,13041664,591.5615234375
1681553048.949639,13107200,567.8636474609375
1681553049.841161,13172736,569.692626953125
1681553050.7615519,13238272,607.7936401367188
1681553051.7184732,13303808,572.102783203125
1681553052.6680834,13369344,634.783935546875
1681553053.5895011,13434880,611.620361328125
1681553054.475933,13500416,629.047607421875
1681553055.3945718,13565952,632.0211181640625
1681553056.2849722,13631488,666.614990234375
1681553057.223788,13697024,645.111572265625
1681553058.1542277,13762560,655.2360229492188
1681553059.1018162,13828096,636.0308227539062
1681553059.9817963,13893632,634.646728515625
1681553060.8648872,13959168,708.6769409179688
1681553061.8078694,14024704,686.3367919921875
1681553062.7093284,14090240,716.9883422851562
1681553063.635447,14155776,674.3773193359375
1681553064.5370336,14221312,676.3900756835938
1681553065.4758492,14286848,668.7194213867188
1681553066.3789852,14352384,725.8880004882812
1681553067.337854,14417920,712.4418334960938
1681553068.2586744,14483456,713.3411254882812
1681553069.2634838,14548992,684.57373046875
1681553070.1923742,14614528,669.3820190429688
1681553071.0847406,14680064,658.3071899414062
1681553072.0128908,14745600,669.1068725585938
1681553072.9259138,14811136,701.001220703125
1681553073.811331,14876672,683.2201538085938
1681553074.6933079,14942208,713.3836059570312
1681553075.5985668,15007744,671.2905883789062
1681553076.51145,15073280,702.2692260742188
1681553077.421615,15138816,653.9862060546875
1681553078.3169725,15204352,644.0188598632812
1681553079.2097392,15269888,685.3344116210938
1681553080.1123877,15335424,716.3735961914062
1681553081.0085137,15400960,713.8535766601562
1681553081.9052117,15466496,688.43505859375
1681553082.8066192,15532032,631.4072265625
1681553083.7077484,15597568,615.7510375976562
1681553084.6286483,15663104,543.8262329101562
1681553085.5507107,15728640,652.3853759765625
1681553086.4786475,15794176,672.741455078125
1681553087.3783975,15859712,615.8402099609375
1681553088.2831843,15925248,524.5827026367188
1681553089.1988032,15990784,548.4169921875
1681553090.114616,16056320,461.87420654296875
1681553091.011192,16121856,514.2764892578125
1681553091.9071333,16187392,560.2803344726562
1681553092.7908704,16252928,520.7005004882812
1681553093.6863976,16318464,533.9393310546875
1681553094.6018817,16384000,503.2269287109375
1681553095.4934587,16449536,532.7793579101562
1681553096.4040086,16515072,528.843505859375
1681553097.2999516,16580608,522.9968872070312
1681553098.1910489,16646144,514.7683715820312
1681553099.0808647,16711680,492.5409240722656
1681553099.9652753,16777216,406.55657958984375
1681553100.8518798,16842752,476.4783630371094
1681553101.7594693,16908288,451.7119445800781
1681553102.6712935,16973824,399.1126403808594
1681553103.5797112,17039360,432.7298583984375
1681553104.4945898,17104896,447.17388916015625
